gene	TESTSRR1925826	TESTSRR1925827	TESTSRR1925828	TESTSRR1925829	TESTSRR1925830	TESTSRR1925831	TESTSRR1925832	TESTSRR1925833	TESTSRR1925834	TESTSRR1925835	TESTSRR1925836	TESTSRR1925837	TESTSRR1925838	TESTSRR1925839	TESTSRR1925840	TESTSRR1925841	TESTSRR1925842	TESTSRR1925843	TESTSRR1925844	TESTSRR1925845
COX4I2	2.14814	2.14312	2.10246	1.93473	1.63526	0.996896	1.42321	1.57857	1.38443	1.45435	1.6612	1.09304	2.49282	3.08329	2.95452	1.34274	2.21332	2.73372	2.97055	3.47983
COX5A	990.882	816.303	740.648	830.102	721.289	681.366	684.371	701.449	688.71	630.442	639.463	667.314	857.265	793.397	834.503	882.316	999.289	1332.69	1041.09	1019.75
COX5B	715.808	622.486	629.94	701.649	609.289	579.452	568.779	629.837	482.65	425.625	539.281	496.749	541.289	562.168	556.315	624.154	938.641	1174.2	1050.11	974.406
COX6A1	1088.61	961.095	944.235	1081.2	884.275	851.74	797.291	832.666	838.239	705.415	710.686	775.077	930.302	987.805	1033.07	1153.98	1420.27	1760.73	1575.14	1437.4
COX6A2	0.745619	0.100986	0	0.0950242	0	0	0	0	0	0.199644	0.157034	0.224663	0.253668	0.245582	0	0.126292	0	0.736004	0.417393	0.23221
COX6B1	1171.41	1013.83	960.824	985.793	948.496	974.466	914.835	843.002	872.465	746.791	793.417	795.556	978.599	896.269	912.505	1038.6	1260.14	1445.63	1287.82	1233.32
COX6B2	13.880096	17.171963	13.98405	12.027036	16.856674	5.24479	7.5471	8.156739	5.0503	5.977588	4.850463	9.091053	14.155882	12.988274	28.18324	14.997495	12.185009	6.51816	10.69524	16.0543
COX7A1	63.1047	77.6857	68.6382	93.9826	64.3555	47.9376	46.9493	65.9367	111.967	94.2205	53.8714	46.6751	111.487	127.188	129.162	197.416	150.127	303.545	229.51	237.146
COX7A2	433.903	391.354	360.252	392.62	360.309	354.163	322.991	354.363	322.742	287.679	293.15	296.904	386.776	343.869	374.874	421.411	609.071	728.374	576.149	528.376
COX7A2L	305.64935	281.25663	320.20793	304.263175	348.93068	369.618708	371.29553	341.154232	254.345935	239.031	218.880187	190.054463	287.256868	323.904271	250.49155	260.601136	295.55067	356.13168	411.79528	410.25763
COX7B	370.941	352.132	337.807	366.129	305.174	303.456	299.466	300.668	227.529	197.873	235.716	233.595	314.673	282.29	330.089	340.4	571.227	633.51	597.643	519.843
COX7B2	0	0	0	0	0.169011	0	0	0.239657	0	0	0	0.167402	0	0	0	0	0	0	0	0.354318
COX7C	1099.26	993.881	977.623	1007	932.052	917.942	832.011	843.317	722.376	645.839	638.273	664.946	876.059	821.328	890.783	970.421	1299.48	1622.18	1324.41	1238.65
