gene	geneID
E2F1	1869
E2F2	1870
E2F3	1871
E2F3P1	1872
E2F4	1874
E2F5	1875
E2F6	1876
E4F1	1877
E11S	1878
EBF1	1879
GPR183	1880
EBM	1881
EBR3	1884
EBR4	1885
EBVS1	1888
ECE1	1889
TYMP	1890
ECH1	1891
ECHS1	1892
ECM1	1893
ECT2	1894
EDA	1896
S1PR1	1901
LPAR1	1902
S1PR3	1903
EDN1	1906
EDN2	1907
EDN3	1908
EDNRA	1909
EDNRB	1910
PHC1	1911
PHC2	1912
EEC1	1913
EEC2	1914
EEF1A1	1915
EEF1A2	1917
EEF1A1P43	1918
EEF1B2P1	1932
EEF1B2	1933
EEF1B2P2	1934
EEF1D	1936
EEF1G	1937
EEF2	1938
EIF2D	1939
EEGV1	1940
EFNA1	1942
EFNA2	1943
EFNA3	1944
EFNA4	1945
EFNA5	1946
EFNB1	1947
EFNB2	1948
EFNB3	1949
EGF	1950
CELSR3	1951
CELSR2	1952
MEGF6	1953
MEGF8	1954
MEGF9	1955
EGFR	1956
EGI	1957
EGR1	1958
EGR2	1959
EGR3	1960
EGR4	1961
EHHADH	1962
EIF1AX	1964
EIF2S1	1965
EIF2B1	1967
EIF2S3	1968
EPHA2	1969
EIF4A1	1973
EIF4A2	1974
EIF4B	1975
EIF4E	1977
EIF4EBP1	1978
EIF4EBP2	1979
EIF4EP1	1980
EIF4G1	1981
EIF4G2	1982
EIF5	1983
EIF5A	1984
EIF5AP2	1986
EIF5AP3	1987
CELA1	1990
ELANE	1991
SERPINB1	1992
ELAVL2	1993
ELAVL1	1994
ELAVL3	1995
ELAVL4	1996
ELF1	1997
ELF2	1998
ELF3	1999
ELF4	2000
ELF5	2001
ELK1	2002
ELK2AP	2003
ELK3	2004
ELK4	2005
ELN	2006
EML1	2009
EMD	2010
MARK2	2011
EMP1	2012
EMP2	2013
EMP3	2014
ADGRE1	2015
EMX1	2016
CTTN	2017
EMX2	2018
EN1	2019
EN2	2020
ENDOG	2021
ENG	2022
ENO1	2023
ENO1P1	2025
ENO2	2026
ENO3	2027
ENPEP	2028
ENSA	2029
SLC29A1	2030
ENUR1	2031
ENUR2	2032
EP300	2033
EPAS1	2034
EPB41	2035
EPB41L1	2036
EPB41L2	2037
EPB42	2038
DMTN	2039
STOM	2040
EPHA1	2041
EPHA3	2042
EPHA4	2043
EPHA5	2044
EPHA7	2045
EPHA8	2046
EPHB1	2047
EPHB2	2048
EPHB3	2049
EPHB4	2050
EPHB6	2051
EPHX1	2052
EPHX2	2053
STX2	2054
CLN8	2055
EPO	2056
EPOR	2057
EPRS	2058
EPS8	2059
EPS15	2060
NR2F6	2063
ERBB2	2064
ERBB3	2065
ERBB4	2066
ERCC1	2067
ERCC2	2068
EREG	2069
EYA4	2070
ERCC3	2071
ERCC4	2072
ERCC5	2073
ERCC6	2074
ERCM1	2076
ERF	2077
ERG	2078
ERH	2079
ERN1	2081
ERV3-1	2086
ESA4	2090
FBL	2091
ESAT	2096
ESB3	2097
ESD	2098
ESR1	2099
ESR2	2100
ESRRA	2101
ESRRB	2103
ESRRG	2104
ETF1	2107
ETFA	2108
ETFB	2109
ETFDH	2110
ETM2	2112
